證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數,Unnamed: 19
4571,鈞興-KY         ,284958,104000,180958,0,0,0,0,0,0,1947,0,0,0,2978,1031,1947,182905,
1735,日勝化          ,421000,236013,184987,0,0,0,0,3000,-3000,-1036,0,1036,-1036,0,0,0,180951,
1519,華城            ,2009272,1927068,82204,0,0,0,0,1000,-1000,95653,96098,65620,30478,98163,32988,65175,176857,
4976,佳凌            ,258428,78000,180428,0,0,0,0,0,0,-4000,0,4000,-4000,0,0,0,176428,
2231,為升            ,260556,91000,169556,0,0,0,0,0,0,3000,5000,2000,3000,0,0,0,172556,
3413,京鼎            ,977000,806100,170900,0,0,0,0,2000,-2000,663,0,2000,-2000,18838,16175,2663,169563,
3528,安馳            ,399000,232000,167000,0,0,0,0,0,0,2000,4000,2000,2000,0,0,0,169000,
2405,輔信            ,514000,339000,175000,0,0,0,0,0,0,-6000,0,6000,-6000,0,0,0,169000,
3167,大量            ,316028,112500,203528,0,0,0,0,29000,-29000,-6787,19256,5045,14211,4000,24998,-20998,167741,
6579,研揚            ,262000,94000,168000,0,0,0,0,0,0,-4001,0,4001,-4001,0,0,0,163999,
6756,威鋒電子        ,349062,192000,157062,0,0,0,0,0,0,3063,6065,3002,3063,0,0,0,160125,
8114,振樺電          ,1127500,975959,151541,0,0,0,0,0,0,7548,28754,47000,-18246,51310,25516,25794,159089,
3596,智易            ,1005308,784300,221008,0,0,0,1000,0,1000,-63322,2000,35909,-33909,457,29870,-29413,158686,
2465,麗臺            ,686024,558017,128007,0,0,0,0,0,0,23998,24000,2,23998,0,0,0,152005,
1308,亞聚            ,589000,397225,191775,0,0,0,0,0,0,-41597,1000,38001,-37001,0,4596,-4596,150178,
6438,迅得            ,703801,218244,485557,0,0,0,0,320000,-320000,-20995,0,0,0,7738,28733,-20995,144562,
1305,華夏            ,785032,592000,193032,0,0,0,0,0,0,-49961,7000,28007,-21007,268,29222,-28954,143071,
2645,長榮航太        ,1018257,808000,210257,0,0,0,0,3000,-3000,-65073,0,4000,-4000,1394,62467,-61073,142184,
2883B,凱基金乙特      ,127000,28000,99000,0,0,0,0,0,0,43000,104000,61000,43000,0,0,0,142000,
5225,東科-KY         ,214000,72000,142000,0,0,0,0,0,0,-1000,2000,3000,-1000,0,0,0,141000,
4562,穎漢            ,236000,97000,139000,0,0,0,0,0,0,0,1000,1000,0,0,0,0,139000,
6446,藥華藥          ,743869,598429,145440,0,0,0,0,3300,-3300,-3705,30673,32779,-2106,3,1602,-1599,138435,
3027,盛達            ,163000,34000,129000,0,0,0,0,0,0,8000,8000,0,8000,0,0,0,137000,
2420,新巨            ,262010,132000,130010,0,0,0,0,0,0,6000,9000,3000,6000,0,0,0,136010,
7788,松川精密        ,319000,206000,113000,0,0,0,0,0,0,18939,0,0,0,21414,2475,18939,131939,
3044,健鼎            ,3321484,3287558,33926,0,0,0,481000,309136,171864,-75350,67395,83487,-16092,73577,132835,-59258,130440,
