證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
1708,東鹼,805793,174815,630978,0,0,0,0,10000,-10000,-16003,0,2000,-2000,271,14274,-14003,604975
9958,世紀鋼,726520,112323,614197,0,0,0,0,0,0,-17941,12000,16000,-4000,7059,21000,-13941,596256
2337,旺宏,12532800,12124692,408108,0,0,0,2000,31000,-29000,214445,34000,100201,-66201,353437,72791,280646,593553
1503,士電,689666,140824,548842,0,0,0,1000,4000,-3000,22747,2000,10000,-8000,38780,8033,30747,568589
2605,新興,4361747,4142395,219352,0,0,0,1000,0,1000,342319,291000,154000,137000,339350,134031,205319,562671
6443,元晶,1395051,845000,550051,0,0,0,0,0,0,9293,10000,707,9293,0,0,0,559344
2033,佳大,791665,249139,542526,0,0,0,0,0,0,35,35,0,35,0,0,0,542561
2357,華碩,1332706,722406,610300,0,0,0,34000,99360,-65360,-4965,20300,32000,-11700,38587,31852,6735,539975
2547,日勝生,704371,192786,511585,0,0,0,25854,0,25854,0,0,0,0,0,0,0,537439
9933,中鼎,1132672,557259,575413,0,0,0,44200,0,44200,-87164,0,88164,-88164,1000,0,1000,532449
4960,誠美材,823166,298000,525166,0,0,0,0,0,0,1,0,0,0,2,1,1,525167
2316,楠梓電,997564,511050,486514,0,0,0,0,7000,-7000,41557,0,2000,-2000,57121,13564,43557,521071
6108,競國,765000,243391,521609,0,0,0,0,0,0,-8000,0,8000,-8000,0,0,0,513609
1616,億泰,875622,371128,504494,0,0,0,0,0,0,1666,9000,7334,1666,0,0,0,506160
8105,凌巨,954000,450050,503950,0,0,0,0,0,0,17,0,0,0,19,2,17,503967
3024,憶聲,626379,124000,502379,0,0,0,0,0,0,-1000,0,1000,-1000,0,0,0,501379
2540,愛山林,565623,57000,508623,0,0,0,0,0,0,-10000,0,10000,-10000,0,0,0,498623
2836,高雄銀,987003,446000,541003,0,0,0,0,0,0,-49000,0,49000,-49000,0,0,0,492003
4532,瑞智,616000,126000,490000,0,0,0,11589,13123,-1534,-4000,0,4000,-4000,0,0,0,484466
2466,冠西電,574460,81380,493080,0,0,0,0,7000,-7000,-4000,0,4000,-4000,0,0,0,482080
6152,百一,516000,37000,479000,0,0,0,0,0,0,2997,2997,0,2997,0,0,0,481997
6206,飛捷,494797,163000,331797,0,0,0,139000,3152,135848,12476,0,1000,-1000,18634,5158,13476,480121
3673,TPK-KY,1105792,720766,385026,0,0,0,0,0,0,91341,74000,8000,66000,69250,43909,25341,476367
4938,和碩,3617518,4340000,-722482,0,0,0,1342000,200122,1141878,51943,61000,23000,38000,49786,35843,13943,471339
2485,兆赫,780230,319000,461230,0,0,0,0,0,0,10081,32000,20000,12000,4505,6424,-1919,471311
2887I,台新新光辛特,469000,15000,454000,0,0,0,0,0,0,0,0,0,0,0,0,0,454000
1519,華城,680266,275944,404322,0,0,0,0,0,0,40072,11728,11100,628,45499,6055,39444,444394
8039,台虹,8319562,7647929,671633,0,0,0,8000,272000,-264000,36569,969000,920489,48511,294554,306496,-11942,444202
2305,全友,2829970,2486533,343437,0,0,0,0,4000,-4000,103983,4000,4000,0,107429,3446,103983,443420
2308,台達電,5013180,4115157,898023,0,0,0,25002,457455,-432453,-30266,83300,117600,-34300,97274,93240,4034,435304
3062,建漢,493289,56000,437289,0,0,0,0,0,0,-2962,0,2000,-2000,38,1000,-962,434327
6456,GIS-KY,938400,494302,444098,0,0,0,0,0,0,-17001,0,3000,-3000,6085,20086,-14001,427097
4989,榮科,774180,328000,446180,0,0,0,0,0,0,-20000,0,20000,-20000,0,0,0,426180
2612,中航,578263,166000,412263,0,0,0,0,0,0,13364,11000,0,11000,2364,0,2364,425627
2645,長榮航太,559223,128000,431223,0,0,0,1000,5000,-4000,-2494,0,3002,-3002,4436,3928,508,424729
1455,集盛,531510,80300,451210,0,0,0,0,0,0,-26500,0,27000,-27000,500,0,500,424710
2495,普安,561136,153826,407310,0,0,0,20000,0,20000,-8264,0,8000,-8000,1000,1264,-264,419046
8103,瀚荃,1628515,1238130,390385,0,0,0,0,0,0,13516,4000,1000,3000,30232,19716,10516,403901
4526,東台,935011,544000,391011,0,0,0,0,0,0,12095,0,0,0,12874,779,12095,403106
2539,櫻花建,613458,192000,421458,0,0,0,0,2000,-2000,-22000,0,22000,-22000,0,0,0,397458
2498,宏達電,816754,425000,391754,0,0,0,0,0,0,5274,47000,12000,35000,17000,46726,-29726,397028
2536,宏普,577073,159000,418073,0,0,0,0,0,0,-22000,0,22000,-22000,0,0,0,396073
2023,燁輝,439850,38000,401850,0,0,0,3000,0,3000,-15000,0,15000,-15000,0,0,0,389850
6155,鈞寶,592006,205000,387006,0,0,0,0,3000,-3000,0,0,0,0,0,0,0,384006
7788,松川精密,857480,546100,311380,0,0,0,0,0,0,68301,63717,0,63717,38774,34190,4584,379681
6715,嘉基,739259,364214,375045,0,0,0,0,0,0,1534,3000,1490,1510,26428,26404,24,376579
2597,潤弘,407131,31000,376131,0,0,0,0,0,0,-3864,0,4000,-4000,136,0,136,372267
5876,上海商銀,4584668,4197497,387171,0,0,0,88000,0,88000,-117842,1000,59690,-58690,2000,61152,-59152,357329
2206,三陽工業,458000,96000,362000,0,0,0,1000,0,1000,-7000,0,7000,-7000,0,0,0,356000
5521,工信,375000,15000,360000,0,0,0,0,0,0,-6000,0,6000,-6000,0,0,0,354000
2451,創見,813164,489950,323214,0,0,0,1000,3000,-2000,25175,7000,10767,-3767,32830,3888,28942,346389
6805,富世達,630047,617077,12970,0,0,0,312000,0,312000,20987,10000,6220,3780,53398,36191,17207,345957
2457,飛宏,481345,146230,335115,0,0,0,0,0,0,6631,6000,4000,2000,6000,1369,4631,341746
3703,欣陸,462000,117000,345000,0,0,0,1000,0,1000,-9000,0,9000,-9000,0,0,0,337000
1447,力鵬,527406,167000,360406,0,0,0,0,26000,-26000,0,0,0,0,0,0,0,334406
3013,晟銘電,544260,221010,323250,0,0,0,0,0,0,9130,1000,2000,-1000,16604,6474,10130,332380
2362,藍天,402264,81000,321264,0,0,0,0,0,0,-7000,0,7000,-7000,0,0,0,314264
1477,聚陽,992870,687107,305763,0,0,0,18340,1492,16848,-11991,1000,2928,-1928,9000,19063,-10063,310620
8926,台汽電,2122561,1825247,297314,0,0,0,19000,0,19000,-6836,6000,13406,-7406,3000,2430,570,309478
9907,統一實,497951,196000,301951,0,0,0,36302,17812,18490,-14000,0,14000,-14000,0,0,0,306441
6177,達麗,734578,265000,469578,0,0,0,14230,0,14230,-194000,0,194000,-194000,0,0,0,289808
4770,上品,521971,251000,270971,0,0,0,0,0,0,14751,2000,1000,1000,21414,7663,13751,285722
6525,捷敏-KY,463830,171105,292725,0,0,0,0,6774,-6774,-821,0,0,0,88,909,-821,285130
2548,華固,451836,167550,284286,0,0,0,0,0,0,251,1000,4050,-3050,3301,0,3301,284537
2484,希華,1983476,1697510,285966,0,0,0,0,6000,-6000,-2233,0,2000,-2000,6000,6233,-233,277733
1440,南紡,1238307,952099,286208,0,0,0,3000,0,3000,-19000,26000,45000,-19000,0,0,0,270208
2543,皇昌,391843,110690,281153,0,0,0,1000,0,1000,-12427,0,6000,-6000,4,6431,-6427,269726
2405,輔信,383400,117000,266400,0,0,0,0,0,0,0,0,0,0,0,0,0,266400
2419,仲琦,464081,171000,293081,0,0,0,0,0,0,-27105,0,14000,-14000,0,13105,-13105,265976
1402,遠東新,3653562,1192848,2460714,0,0,0,38000,2335898,-2297898,101455,81000,49000,32000,88044,18589,69455,264271
8033,雷虎,419243,148050,271193,0,0,0,0,6000,-6000,-2412,6329,8741,-2412,0,0,0,262781
1560,中砂,748024,376355,371669,0,0,0,40000,29000,11000,-120216,2100,8000,-5900,15676,129992,-114316,262453
8261,富鼎,620410,353100,267310,0,0,0,0,4000,-4000,-1023,0,0,0,23282,24305,-1023,262287
2328,廣宇,602022,346000,256022,0,0,0,0,0,0,-3963,3000,6000,-3000,1000,1963,-963,252059
2208,台船,322000,64000,258000,0,0,0,0,0,0,-6000,0,6000,-6000,0,0,0,252000
1563,巧新,553391,304292,249099,0,0,0,0,0,0,-580,2000,0,2000,463,3043,-2580,248519
3014,聯陽,310896,70000,240896,0,0,0,10082,2702,7380,-1147,0,1000,-1000,0,147,-147,247129
3047,訊舟,319000,74000,245000,0,0,0,0,0,0,0,0,0,0,0,0,0,245000
6719,力智,402120,188000,214120,0,0,0,11000,0,11000,2530,0,1000,-1000,12609,9079,3530,227650
2851,中再保,1522050,1383163,138887,0,0,0,92000,0,92000,-13261,0,34000,-34000,23001,2262,20739,217626
6224,聚鼎,563918,313000,250918,0,0,0,0,0,0,-35283,0,1283,-1283,0,34000,-34000,215635
3437,榮創,454445,238000,216445,0,0,0,0,0,0,-2000,0,2000,-2000,0,0,0,214445
2474,可成,1014758,700000,314758,0,0,0,9000,105000,-96000,-7011,0,4000,-4000,39139,42150,-3011,211747
9934,成霖,384000,147000,237000,0,0,0,0,0,0,-26000,1000,27000,-26000,0,0,0,211000
5608,四維航,1066521,856000,210521,0,0,0,0,0,0,-51,0,51,-51,0,0,0,210470
6668,中揚光,583325,371000,212325,0,0,0,0,0,0,-2000,1000,3000,-2000,0,0,0,210325
8016,矽創,490888,353269,137619,0,0,0,112000,42596,69404,2494,1000,1120,-120,4183,1569,2614,209517
1905,華紙,519865,328171,191694,0,0,0,0,0,0,17665,21000,18000,3000,15878,1213,14665,209359
2233,宇隆,365467,165000,200467,0,0,0,17000,0,17000,-10979,0,1000,-1000,2119,12098,-9979,206488
6789,采鈺,559804,387167,172637,0,0,0,0,7000,-7000,36440,0,2000,-2000,51343,12903,38440,202077
2029,盛餘,237000,30000,207000,0,0,0,0,0,0,-7300,0,7300,-7300,0,0,0,199700
1598,岱宇,249000,48000,201000,0,0,0,0,0,0,-1418,582,2000,-1418,0,0,0,199582
3023,信邦,298168,84000,214168,0,0,0,7000,26000,-19000,925,2917,9000,-6083,10516,3508,7008,196093
2108,南帝,255250,112046,143204,0,0,0,0,0,0,49034,4000,6000,-2000,51034,0,51034,192238
1442,名軒,207000,16000,191000,0,0,0,0,0,0,0,0,0,0,0,0,0,191000
2324,仁寶,15083357,14100989,982368,0,0,0,6000,50924,-44924,-747078,109707,685076,-575369,181140,352849,-171709,190366
2614,東森,294134,104000,190134,0,0,0,0,0,0,0,0,0,0,0,0,0,190134
1711,永光,809242,607248,201994,0,0,0,0,0,0,-13386,0,0,0,4915,18301,-13386,188608
5469,瀚宇博,531000,345000,186000,0,0,0,1000,0,1000,0,3000,4000,-1000,3000,2000,1000,187000
2010,春源,482000,268000,214000,0,0,0,0,0,0,-29000,0,29000,-29000,0,0,0,185000
2855,統一證,1126324,3171000,-2044676,0,0,0,2273000,44371,2228629,0,0,0,0,0,0,0,183953
5225,東科-KY,211074,27450,183624,0,0,0,0,0,0,-1157,1000,2157,-1157,0,0,0,182467
6933,AMAX-KY,263927,76927,187000,0,0,0,0,0,0,-11000,0,1000,-1000,0,10000,-10000,176000
6202,盛群,382410,202000,180410,0,0,0,0,0,0,-4434,2000,2000,0,1432,5866,-4434,175976
1524,耿鼎,180000,5000,175000,0,0,0,0,0,0,0,0,0,0,0,0,0,175000
6215,和椿,205000,37000,168000,0,0,0,0,0,0,961,0,0,0,1269,308,961,168961
2107,厚生,202375,37138,165237,0,0,0,0,0,0,3000,3000,0,3000,0,0,0,168237
2329,華泰,521202,384000,137202,0,0,0,0,0,0,29311,24000,5000,19000,27311,17000,10311,166513
3030,德律,314145,150000,164145,0,0,0,0,0,0,961,0,2000,-2000,8851,5890,2961,165106
3058,立德,166000,1000,165000,0,0,0,0,0,0,0,0,0,0,0,0,0,165000
2393,億光,654810,514000,140810,0,0,0,23759,4503,19256,4000,8000,4000,4000,0,0,0,164066
4551,智伸科,450934,279924,171010,0,0,0,0,3000,-3000,-4144,0,0,0,0,4144,-4144,163866
2348,海悅,215000,51001,163999,0,0,0,0,0,0,-1831,7000,5003,1997,0,3828,-3828,162168
4119,旭富,233110,69000,164110,0,0,0,0,0,0,-3261,0,4000,-4000,16739,16000,739,160849
1103,嘉泥,239000,74019,164981,0,0,0,0,0,0,-6000,0,6000,-6000,0,0,0,158981
2404,漢唐,830895,695794,135101,0,0,0,1000,0,1000,21447,4100,5100,-1000,29274,6827,22447,157548
1907,永豐餘,415191,252172,163019,0,0,0,3000,0,3000,-13000,2000,15000,-13000,0,0,0,153019
3004,豐達科,257774,105000,152774,0,0,0,0,0,0,-88,0,0,0,995,1083,-88,152686
2520,冠德,412000,266000,146000,0,0,0,1000,0,1000,-2201,3000,7751,-4751,7550,5000,2550,144799
1611,中電,315000,168000,147000,0,0,0,0,0,0,-3000,0,3000,-3000,0,0,0,144000
3653,健策,706867,560148,146719,0,0,0,60000,3080,56920,-59990,12108,51901,-39793,28701,48898,-20197,143649
2537,聯上發,192398,49000,143398,0,0,0,0,0,0,0,0,0,0,0,0,0,143398
3701,大眾控,645017,514000,131017,0,0,0,0,0,0,12216,4000,5000,-1000,14772,1556,13216,143233
2420,新巨,182000,42000,140000,0,0,0,0,0,0,3003,6000,1000,5000,181,2178,-1997,143003
2534,宏盛,160000,12000,148000,0,0,0,0,0,0,-5000,0,5000,-5000,0,0,0,143000
2493,揚博,280709,132000,148709,0,0,0,0,5000,-5000,-997,0,1000,-1000,15500,15497,3,142712
2211,長榮鋼,233000,46000,187000,0,0,0,1000,3225,-2225,-44174,1000,45174,-44174,0,0,0,140601
6214,精誠,284947,138000,146947,0,0,0,0,2000,-2000,-4539,0,1000,-1000,3000,6539,-3539,140408
2912,統一超,679538,517935,161603,0,0,0,1000,18000,-17000,-4614,0,8000,-8000,6689,3303,3386,139989
